tube,cycle_0
tube_1,2.705017
tube_2,4.210451
tube_3,4.398462
tube_4,2.819332
tube_5,2.753154
tube_6,3.710277
tube_7,3.668799
tube_8,3.829105
tube_9,5.678487
tube_10,5.107792
tube_11,6.250975
tube_12,2.678973
tube_13,3.65989
tube_14,2.053588
tube_15,4.50332
tube_16,4.962946
tube_17,8.365465
tube_18,7.473655
tube_19,6.909944
tube_20,4.6053
tube_21,4.132103
tube_22,3.575583
tube_23,3.143579
tube_24,8.725686
tube_25,5.680429
tube_26,8.931262
tube_27,7.876003
tube_28,6.093041
tube_29,4.259656
tube_30,2.732278
tube_31,5.316028
tube_32,10.33892
tube_33,5.477472
tube_34,6.719491
tube_35,3.716454
tube_36,2.838126
tube_37,4.700888
tube_38,3.933927
tube_39,3.216413
tube_40,3.339773
tube_41,6.460063
tube_42,5.814518
tube_43,6.416833
tube_44,3.600644
tube_45,2.201379
tube_46,2.731412
